K,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bits
K1,0.500028,83.01005663535398,5.611374618432729,1287520928,0.49998406,83.0104384487785,6.263275298498486,1437098496,0.49992484,83.01095284983452,5.864891243521419,1345689912,0.5000014,83.01028804911071,5.621461787060488,1336403040,0.4999888,83.01039728897138,5.48169446053397,1303175832,0.5410261,82.66781770923069,6.292389361111111,1812208136,0.54445666,82.64036684773777,5.881522805555556,1693878568,0.5112129,82.91398208099237,6.46934475,1863171288,0.502907,82.98512338245695,5.9436249722222225,1711763992,0.50305533,82.98384241646376,7.0290365,1012181256,0.5084917,82.93716135910827,7.168237166666667,1032226152,0.5028417,82.98568704484413,7.561359777777778,1088835808,0.50720483,82.94816618862257,7.293654611111111,1050286264
K2,3.499918,74.55942132652511,4.648148028053367,1066510128,3.4997828,74.55958907477026,5.25470057755905,1205682640,3.499644,74.55976126753868,4.857821732467953,1114619424,3.5001357,74.55915122700544,4.644228419949666,1104083104,3.4996517,74.55975179971767,4.49617284651686,1068885512,3.9814844,73.99954980125473,5.319522666666667,1532022528,3.9966187,73.98307278725744,4.920359722222222,1417063600,3.6316028,74.3990166201808,5.452548416666667,1570333944,3.5346456,74.5165412930172,4.924761027777778,1418331176,3.534742,74.51642265397626,6.0174725,866516040,3.5926225,74.4458841227702,6.142343666666667,884497488,3.5317702,74.52007558598395,6.5340306111111115,940900408,3.5798407,74.4613630351854,6.274769888888889,903566864
K3,17.501976,67.56912915703694,3.7691323365079032,864821384,17.499977,67.56962519326181,4.299555734535521,986526184,17.500698,67.5694462729004,3.91424689821328,898117688,17.500933,67.56938805437227,3.7446076616429487,890214192,17.499807,67.56966732108569,3.5939706636414153,854402912,20.36057,66.9121004860733,4.377433416666666,1260700824,20.381409,66.90765802382504,3.9965853888888887,1151016592,18.284897,67.37907485276591,4.465637083333333,1286103480,17.706375,67.51870339183411,3.9450225555555556,1136166496,17.700174,67.52022456185804,5.043054055555555,726199784,18.03463,67.43892767568482,5.142788777777778,740561584,17.686111,67.52367642577002,5.528290833333333,796073880,17.96062,67.45678654297204,5.288414111111111,761531632
K4,77.66332,61.0978403420865,2.9842086673953707,684721904,77.56939,61.10309627479312,3.4334027519912973,787788768,77.499,61.10703898251312,3.085695816575753,708007968,77.36791,61.114391220526805,2.9432563602001074,699707104,77.494286,61.107303211201966,2.823515761215451,671240896,91.23818,60.39823376680764,3.4841338611111112,1003430552,91.14529,60.40265785307257,3.1402614722222224,904395304,81.285645,60.899861463045,3.5278056944444445,1016008040,78.49349,61.051663489964966,3.039285111111111,875314112,78.45044,61.05404619297787,4.127379833333333,594342696,80.045044,60.966655526120746,4.1963486111111115,604274200,78.39042,61.05737014189849,4.558892444444444,656480512,79.66886,60.98711389636722,4.347105277777778,625983160
K5,321.91678,54.92256386942672,2.278318227540484,522756472,324.61636,54.886295916888955,2.6841662351971074,615877648,325.44254,54.87525685319205,2.409560947036458,552869904,328.2745,54.83762844046629,2.2641419781830234,538259680,325.36978,54.8762278434248,2.2054176399252436,524299008,385.98526,54.13429279832521,2.715846472222222,782163784,385.00967,54.14528357911192,2.4194994444444444,696815840,342.26822,54.65633425011276,2.7228945555555555,784193632,329.85516,54.81676713056204,2.2965963333333335,661419744,329.5106,54.82130623768681,3.299707222222222,475157840,336.9376,54.72450532820709,3.346092666666667,481837344,329.4807,54.821700030133215,3.664931277777778,527750104,334.95563,54.75012721422008,3.4766944444444445,500644000
K6,1377.1222,48.61027522979698,1.6930086938937032,388458136,1339.538,48.730449735343896,2.0726242588747623,475560320,1334.0308,48.748341558087695,1.8630065147545156,427463864,1356.8375,48.6747215416415,1.7099609266389129,406512944,1331.7373,48.755814346072924,1.7009555033119186,404372064,1590.3026,47.98520227661105,2.0757493888888887,597815824,1583.6199,48.00349056869037,1.8121868888888888,521909824,1405.1213,48.52286171060676,2.06247125,593991720,1351.851,48.690711887403666,1.6929153888888888,487559632,1361.1295,48.66100548074279,2.5660275555555554,369507968,1387.775,48.57680932710241,2.5981792777777777,374137816,1355.0394,48.68048067577432,2.86792,412980480,1389.3335,48.571934935505936,2.6998715555555557,388781504
K7,5453.102,42.633563747363475,1.2433174169007062,285277192,5456.4165,42.63092486144053,1.5508483824685637,355839680,5359.316,42.70890641652666,1.3932873447799157,319687552,5618.699,42.50364216015701,1.2796951192580899,304224864,5264.958,42.78605088305283,1.2194223502654036,289896080,6471.7417,41.8897882465329,1.5259032777777777,439460144,6437.45,41.91286117948365,1.2940570833333334,372688440,5692.169,42.44722218403618,1.520446611111111,437888624,5491.438,42.60313916278271,1.205561138888889,347201608,5523.6436,42.57774354573307,1.9258554444444445,277323184,5480.4595,42.61183029458306,1.9217043333333332,276725424,5549.1953,42.55769989251749,2.1809392777777776,314055256,5464.425,42.62455545937004,2.0082778333333335,289192008
K8,20056.799,36.97738381496099,0.8687345477240198,199329752,21047.629,36.76796821962863,1.078148707944793,247379496,19935.812,37.00366059621561,0.9365797974620873,214896736,21553.832,36.66475505917319,0.8677748879727324,206298120,22534.332,36.47155310876416,0.8464757712771886,201234632,26219.596,35.81374009261326,1.0575699166666668,304580136,26276.928,35.804254133133725,0.8697034722222222,250474600,22987.416,36.38509844443035,1.0689123333333332,307846752,22091.508,36.557746411996035,0.8023464444444445,231075776,21924.135,36.590775370236926,1.353916111111111,194963920,24521.164,36.10458916946421,1.3289778888888888,191372816,23737.703,36.2456130595417,1.6150521111111111,232567504,24544.406,36.10047469388824,1.4310651666666667,206073384
K9,83505.91,30.78282806419746,0.6700665073280092,153745688,91542.05,30.383793810000547,0.8673613762397123,199014680,92503.664,30.338410645516767,0.7236367915400587,166037304,89209.14,30.495906442828783,0.6930530853401073,164761104,90465.74,30.43515849475371,0.6094287061539387,144880888,104171.99,29.82249030301734,0.6861885277777777,197622296,107407.7,29.689645705478828,0.5484115277777778,157942520,92030.08,30.36070209297553,0.6765311388888889,194840968,90109.02,30.452317169799443,0.49089380555555556,141377416,80419.266,30.946398971180415,0.9627093333333333,138630144,84114.22,30.751305844314505,0.9399276666666667,135349584,87245.66,30.592561863013472,1.1295563888888889,162656120,84841.52,30.71391541775471,1.0130110555555556,145873592
K10,336745.66,24.726979976207826,0.42092611672166813,96580824,392204.62,24.064872893012392,0.5399621352774742,123893448,387063.6,24.122176754313212,0.3336023262746657,76544520,411729.97,23.853875206899815,0.35038116402356767,83296920,346256.56,24.606019867923926,0.18409735656450554,43765888,419495.88,23.772723053324107,0.3784656388888889,108998104,363534.9,24.394538822906892,0.2777568888888889,79993984,353226.84,24.51946299291795,0.38416252777777776,110638808,343675.3,24.638516637606536,0.24675022222222223,71064064,387465.47,24.11766996124301,0.5861853333333333,84410688,403035.6,23.94656597812718,0.5024062777777778,72346504,423778.16,23.728614328649126,0.7556036666666667,108806928,404935.53,23.92614114195308,0.5590107222222223,80497544
