K,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_MSE,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_PSNR,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bpsp,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bits,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_MSE,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_PSNR,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bpsp,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bits,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_MSE,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_PSNR,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bpsp,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bits,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_MSE,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_PSNR,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bpsp,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bits,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_MSE,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_PSNR,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bpsp,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bits,GF6_WFI_Sample_A.tif_MSE,GF6_WFI_Sample_A.tif_PSNR,GF6_WFI_Sample_A.tif_bpsp,GF6_WFI_Sample_A.tif_bits,GF6_WFI_Sample_B.tif_MSE,GF6_WFI_Sample_B.tif_PSNR,GF6_WFI_Sample_B.tif_bpsp,GF6_WFI_Sample_B.tif_bits,GF6_WFI_Sample_C.tif_MSE,GF6_WFI_Sample_C.tif_PSNR,GF6_WFI_Sample_C.tif_bpsp,GF6_WFI_Sample_C.tif_bits,GF6_WFI_Sample_D.tif_MSE,GF6_WFI_Sample_D.tif_PSNR,GF6_WFI_Sample_D.tif_bpsp,GF6_WFI_Sample_D.tif_bits,GF6_PMS_Sample_A.tif_MSE,GF6_PMS_Sample_A.tif_PSNR,GF6_PMS_Sample_A.tif_bpsp,GF6_PMS_Sample_A.tif_bits,GF6_PMS_Sample_B.tif_MSE,GF6_PMS_Sample_B.tif_PSNR,GF6_PMS_Sample_B.tif_bpsp,GF6_PMS_Sample_B.tif_bits,GF6_PMS_Sample_C.tif_MSE,GF6_PMS_Sample_C.tif_PSNR,GF6_PMS_Sample_C.tif_bpsp,GF6_PMS_Sample_C.tif_bits,GF6_PMS_Sample_D.tif_MSE,GF6_PMS_Sample_D.tif_PSNR,GF6_PMS_Sample_D.tif_bpsp,GF6_PMS_Sample_D.tif_bits
K1,296.71295166015614,55.2766349611062,1.237904714088222,284035256,348.2975769042971,54.58049546904823,1.5896485658649178,364742320,313.5547790527343,55.036865755283564,1.3577611000991945,311536112,258.4660644531248,55.8759646993262,1.3201109651486147,313833016,249.6449127197265,56.026772795999065,1.2632687775283375,300319792,237.1183319091796,56.25034868884583,1.6635305,479096784,210.8631896972655,56.759992282579205,1.3692308888888889,394338496,258.66104125976574,55.872689784733616,1.6004735277777777,460936376,219.82054138183602,56.579317268718,1.1909694722222222,342999208,326.6690063476564,54.85892068495828,2.374157611111111,341878696,314.5680847167966,55.02285341898657,2.3175097222222223,333721400,345.9432067871097,54.60995193124772,2.767111277777778,398464024,314.03341674804716,55.03024135566615,2.4876039444444444,358214968
K2,477.0297851562502,53.21454503297089,0.8661301800317631,198732184,566.9513549804689,52.46454202429591,1.1393755807405934,261427904,477.0688781738281,53.21418913934107,0.8966344328398019,205731336,414.13284301757784,53.828603261851384,0.9166349208752871,217913728,377.0763549804688,54.2357069969054,0.8125615913361374,193172136,370.8270874023439,54.3082854993287,1.3345986111111112,384364400,320.53826904296875,54.94120112659931,1.0589559722222222,304979320,406.3221130371092,53.91129541668998,1.2654616666666667,364452960,332.8716125488281,54.777232401064,0.8765560277777777,252448136,572.2638549804685,52.42403683898114,1.874933611111111,269990440,540.7597656249997,52.669956288583506,1.8121837777777778,260954464,625.0239257812495,52.04103357638501,2.2336149444444446,321640552,543.1323852539066,52.65094300838857,1.9958459444444445,287401816
K3,665.2148437499994,51.770380684020225,0.691244950934502,158605048,784.0008544921868,51.05683463972399,0.9061563994344698,207916136,611.2589721679693,52.137747531698494,0.6844409113334414,157043872,560.5457153320317,52.5138896271785,0.7143203679096194,169817024,488.5397949218745,53.111000542357694,0.618206781325045,146967720,512.0342407226566,52.907009959388496,1.121514388888889,322996144,429.3431396484376,53.67195472177467,0.8789730833333333,253144248,557.1375732421876,52.5403755182327,1.0441958333333334,300728400,431.57339477539034,53.64945336135514,0.6879843611111112,198139496,870.186096191407,50.60387860132694,1.5814835555555555,227733632,804.6659545898436,50.94384373280418,1.5278150555555556,220005368,980.9505004882805,50.083529068985165,1.9032908888888889,274073888,820.9866943359369,50.856638813985946,1.7074033333333334,245866080
K4,843.8203124999994,50.73750024461977,0.5858947632670352,134432616,990.3621215820307,50.042059784839864,0.7707115673938019,176838536,732.1629028320316,51.35392279693075,0.583757463551718,133942216,690.4562988281252,51.60863804092463,0.5989635905596337,142392992,591.8195190429693,52.27810715294243,0.5270523525831365,125297368,655.193969726562,51.83630108388252,0.9801379722222222,282279736,537.0487670898433,52.69986276094879,0.7668835,220862448,698.5554199218753,51.55799133413089,0.8962637222222222,258123952,511.89617919921864,52.90818112018202,0.5763933333333333,166001280,1207.6197509765625,49.18069792576741,1.3872426111111111,199762936,1101.7044677734373,49.57934889357518,1.3428316111111112,193367752,1397.4970703125005,48.54649093887656,1.6761580555555555,241366760,1139.3155517578134,49.433559744218876,1.5117533333333333,217692480
K5,1006.9990234375006,49.969709506141186,0.5154037247590307,118258560,1182.634033203125,49.27149627265169,0.6818622400504863,156452200,847.5644531249994,50.718272659010594,0.5251709055282147,120499624,805.1084594726564,50.94145610094741,0.525546457086395,124939368,690.5894775390632,51.607800432491416,0.4719240254689834,112191584,802.7139892578124,50.95439168311961,0.8780091666666666,252866640,646.2811889648434,51.895784847204645,0.6874400833333333,197982744,832.8789062500006,50.79418136852918,0.7923844722222222,228206728,582.0678710937502,52.35026372183572,0.5043902222222222,145264384,1577.828979492188,48.01940071651263,1.245350888888889,179330528,1428.8156738281248,48.45023794303983,1.2083252222222223,173998832,1863.903442382812,47.29576589582089,1.5058832777777778,216847192,1493.6614990234373,48.25747813339193,1.365946388888889,196696280
K6,1153.2672119140634,49.38070055051783,0.46620712979476,106970480,1359.976074218749,48.66468732016675,0.6191709508543097,142067784,959.805236816407,50.17816884832578,0.4844475707827991,111155720,906.8005981445322,50.424882020757536,0.47609180578322763,113182400,786.1930541992194,51.044707973720435,0.4326785043513229,102861656,950.5902099609376,50.22006662776203,0.8025865277777777,231144920,754.8246459960935,51.22153928001861,0.6281710555555555,180913264,959.1395263671876,50.18118211261339,0.7178136666666667,206730336,643.0585937500003,51.917494535408856,0.45689725,131586408,1971.9263916015625,47.051093005093634,1.1382397222222222,163906520,1781.0552978515634,47.493225964385104,1.105634888888889,159211424,2368.0385742187523,46.256112274415585,1.3763060555555555,198188072,1877.7196044921868,47.26369259414675,1.2545159444444445,180650296
K7,1406.2314453124989,48.51943194856781,0.40163254134698695,92153944,1678.8789062499998,47.74980627414056,0.5351557212863546,122790624,1176.8875732421882,49.29265022842736,0.42734453585206955,98053520,1082.8505859375002,49.654314641313434,0.4138682711604607,98389856,961.1228027343744,50.172211189468506,0.377711165037313,89794144,1251.9366455078136,49.024176481244204,0.6911403055555555,199048408,972.0737304687495,50.12300793179352,0.5427189166666667,156303048,1198.6285400390616,49.21315385713526,0.6118144444444444,176202560,755.0935668945319,51.21999229737415,0.39335319444444444,113285720,2808.515136718752,45.515232311164084,0.9822342222222222,141441728,2546.327148437499,45.94085799569346,0.9524248333333334,137149176,3449.546630859376,44.622379798989975,1.1864922222222223,170854880,2719.7358398437505,45.654732756971946,1.0878789444444446,156654568
K8,2090.2932128906236,46.79792789578548,0.3023085974885857,69364224,2620.738281250002,45.81576347494527,0.3981958470837016,91365400,1913.8110351562505,47.181009455770926,0.32241933262554895,73978600,1557.146850585937,48.07670428284965,0.32320582436631456,76836464,1502.9786376953132,48.23047192132306,0.2893344825250923,68784152,2443.2922363281264,46.1202458499778,0.4641416388888889,133672792,1822.8172607421889,47.39256867619985,0.369767,106492896,2093.4111328125,46.79145470573242,0.4199684722222222,120950920,1201.443359374999,49.20296698676743,0.28160905555555554,81103408,6150.387695312503,42.11097507211906,0.6491578888888889,93478736,5916.642578124995,42.27924665476497,0.6316855555555555,90962720,7788.113281250007,41.085677401175964,0.7844841666666666,112965720,6458.84814453125,41.89844926134572,0.7347356666666667,105801936
K9,3097.3181152343755,45.09014187411731,0.26031257572508676,59728304,4089.0195312499986,43.88380815027997,0.33819120987551016,77597432,3186.943847656251,44.96625588508657,0.2685840302220456,61626176,2362.91748046875,46.265514448521174,0.28215070480536303,67076336,2461.2976074218764,46.08835870471638,0.24330388424290683,57841192,5083.403320312499,42.938454317418504,0.29924391666666667,86182248,3748.7641601562505,44.26111880774635,0.24239666666666668,69810240,4308.429687499998,43.656809902384104,0.2778090833333333,80009016,2435.916992187498,46.13337515074115,0.1913391111111111,55105664,11459.422851562504,39.40837254854976,0.4175086111111111,60121240,11765.36621093749,39.29394550348212,0.42720855555555554,61518032,14400.68359375,38.416168916584326,0.5010317222222223,72148568,13463.048828125005,38.70856579094679,0.4882081111111111,70301968
K10,4972.293945312499,43.03443205240822,0.23599850772548425,54149480,6716.69775390625,41.72844194170271,0.3038131449162426,69709440,5302.103515624996,42.755517975712635,0.2384780891912953,54718416,3832.4394531249995,44.16524697629861,0.256939557645301,61082832,3926.362304687501,44.06009628407246,0.2178103354066738,51780552,9053.700195312493,40.43173890852164,0.23907444444444445,68853440,6566.087402343753,41.826933405980036,0.19685802777777778,56695112,7810.021484374992,41.073477714322166,0.2221508611111111,63979448,4326.3652343750055,43.63876819945908,0.15751219444444445,45363512,17759.208984375004,37.50576382103117,0.34866144444444447,50207248,18559.896484375015,37.314244503364506,0.35786372222222224,51532376,21928.54492187499,36.58990185165434,0.42116916666666665,60648360,21473.294921875,36.68101311101838,0.4073892777777778,58664056
