K,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bits
K1,0.46728498,83.30418180716521,5.78196401456711,1326662392,0.45512378,83.41870470162505,6.44232390376224,1478180912,0.4087443,83.88548284882462,6.165761574279881,1414724128,0.42531082,83.71293568250803,5.921322159420491,1407689536,0.43157992,83.64938772164112,5.772878923057574,1372399784,0.25193912,85.98704395531529,6.860979833333333,1975962192,0.16334422,87.86896230388543,6.681296694444445,1924213448,0.30892745,85.101435051688,6.910869166666667,1990330320,0.16639628,87.78856399766404,6.739006722222222,1940833936,0.7296984,81.36856594370015,6.8390751666666665,984826824,0.8177538,80.87377433436006,6.959611388888889,1002184040,1.1494969,79.3949219071734,6.959570555555556,1002178160,0.96153843,80.17033351724045,6.953246166666666,1001267448
K2,1.5187293,78.18519620046851,5.01956598520626,1151731384,1.9037596,77.20387893943055,5.305887162429548,1217427320,0.94733334,80.23497179962341,5.357311674433118,1229226592,1.0587384,79.75211355108917,5.146992377560811,1223606336,0.7302985,81.36499579999872,5.310350541344192,1262441848,1.951904,77.09541532933142,5.35977925,1543616424,1.1325666,79.45936261129182,5.359769972222222,1543613752,2.2262297,76.52430033957374,5.359843694444445,1543634984,1.057173,79.75853931575469,5.35980475,1543623768,4.717762,73.26263972640072,5.3596026666666665,771782784,5.7632194,72.39334850222473,5.359731166666666,771801288,8.428508,70.74249306688813,5.359635444444445,771787504,6.769192,71.6946315345032,5.359715277777778,771799000
K3,4.4461427,73.52016605218607,4.385907489439892,1006339456,5.9445686,72.25879654360013,4.469567013759956,1025535000,2.7711275,75.5734349769729,4.479608696334339,1027839048,2.945821,75.30793639277218,4.431557815240083,1053524432,1.9457659,77.1090942249493,4.479723554603224,1064974984,6.468801,71.89176207425075,4.479829361111111,1290190856,3.6665468,74.35742764717143,4.479805694444445,1290184040,7.203322,71.42467175126794,4.479787083333333,1290178680,3.284604,74.83516972972001,4.479859222222222,1290199456,14.9937725,68.24089082780846,4.479707277777778,645077848,18.117437,67.41903231491312,4.4796135,645064344,27.245905,65.64698763230035,4.4796751666666665,645073224,21.192114,66.73825721012523,4.479731277777778,645081304
K4,15.935304,67.97639655517058,3.5197410136658176,807598944,21.587614,66.6579535479759,3.5197394795518293,807598592,9.8739195,70.05510418385921,3.519686831549054,807586512,10.321774,69.86245674055228,3.5196719335151343,836739704,6.728976,71.72051035337311,3.5196869756444538,836743280,24.692945,66.07427102471328,3.519859888888889,1013719648,13.831566,68.59128651088753,3.5198350555555558,1013712496,26.448395,65.77600681335612,3.519858638888889,1013719288,11.929367,69.23382598013086,3.5198514722222223,1013717224,54.040894,62.67277478623698,3.5197319444444446,506841400,62.674717,62.029076187189915,3.5197183888888888,506839448,98.9883,60.0441614946417,3.5197422222222223,506842880,75.380684,61.22739926687657,3.5197480555555556,506843720
K5,59.37185,62.26419425318926,2.5597289848175016,587325720,79.77124,60.981536557517266,2.559723510819862,587324464,35.42633,64.50673829244337,2.5597506018782434,587330680,37.42128,64.26881362556483,2.55971497352274,608526928,24.036829,66.19122826224893,2.5597048444826385,608524520,96.3171,60.162965996430266,2.5598869722222224,737247448,53.466774,62.7191601904143,2.559854,737237952,96.30003,60.16373561484242,2.559829166666667,737230800,42.67892,63.69786571441766,2.55984225,737234568,204.29834,56.897351624895684,2.559728777777778,368600944,225.07994,56.47663207753063,2.5596974444444442,368596432,367.39154,54.34870847879398,2.5597517222222224,368604248,284.0885,55.46546344818053,2.559768722222222,368606696
K6,168.90515,57.723571048622205,1.8397161889121911,422119936,222.61731,56.5244107019626,1.8397070539607163,422117840,94.11963,60.263197938237425,1.839743001040757,422126088,103.23252,59.86183466558173,1.8397309915396436,437363480,64.64155,61.89488250812104,1.8396926290621847,437354360,283.93942,55.46774305141436,1.8398907222222223,529888528,154.75638,58.10351442801444,1.8398724444444445,529883264,259.058,55.866029683424244,1.8398659722222221,529881400,108.995544,59.625912549717974,1.8398315,529871472,595.7465,52.24938485140315,1.8397892777777778,264929656,650.0752,51.87036404864113,1.8398119444444445,264932920,1023.87885,49.89751430047281,1.8397718333333333,264927144,838.95807,50.76259744681615,1.8398043333333334,264931824
K7,243.66457,56.132076217884176,1.5997305537977167,367055616,320.9292,54.935907675331066,1.5997959977058023,367070632,132.84178,58.766653084658486,1.5997019634915737,367049056,147.82976,58.302381349539175,1.599796678869468,380323344,91.66649,60.37789404302132,1.5997310251909396,380307736,413.70413,53.833101413461726,1.5998949166666667,460769736,227.22797,56.43538218444935,1.5998861944444445,460767224,366.88586,54.354690208499235,1.5999136111111112,460775120,149.17427,58.26306076910655,1.599864611111111,460761008,871.62933,50.59668162591543,1.5998201111111112,230374096,955.0608,50.199689840577406,1.5998170555555555,230373656,1464.4023,48.34339584709328,1.5997566666666667,230364960,1235.5116,49.08153173895766,1.5998247777777779,230374768
K8,413.16306,53.83878519544958,1.2797129463530799,293628088,537.5855,52.69552445500322,1.2797569475315582,293638184,218.14807,56.61248622384794,1.279724243010629,293630680,248.7426,56.04249831384799,1.2797489613317163,304237664,151.46577,58.19685489995413,1.2797589557666333,304240040,715.20087,51.45571967922345,1.2799010833333333,368611512,390.62427,54.08240779614766,1.2798916388888888,368608792,599.57776,52.22154485587488,1.2798824166666667,368606136,234.13263,56.305380575613526,1.2798267222222222,368590096,1491.1123,48.26489645970667,1.2798611111111111,184300000,1645.213,47.83777864127961,1.2797747222222222,184287560,2429.188,46.14538875020274,1.2798352222222222,184296272,2130.228,46.715739056145,1.2798216666666666,184294320
K9,738.5677,51.3160969646212,0.9597024516187518,220202192,959.90546,50.17771539589242,0.9598094560694256,220226744,383.0291,54.16768214363195,0.9597837247938971,220220840,443.04633,53.535508608268614,0.959748019095428,228163104,267.11404,55.73303277258911,0.9597683108269259,228167928,1300.6742,48.85831476168775,0.9598975,276450480,721.1355,51.41983125675483,0.9598799166666667,276445416,1034.1135,49.854317816053936,0.9598925,276449040,381.47427,54.1853474519229,0.9598752777777778,276444080,2684.1362,45.711954457908945,0.9597942222222222,138210368,2976.4902,45.262955379951464,0.9597487777777778,138203824,4186.8384,43.78113803499485,0.9597435555555556,138203072,3826.942,44.17148131733175,0.9597908333333334,138209880
K10,1461.0166,48.35344849140295,0.6398002165192697,146801136,1883.6138,47.250081434525136,0.6397719400091698,146794648,759.63574,51.193946091409,0.6398071200322164,146802720,882.3573,50.54355517009284,0.6397642726714039,152092632,534.2517,52.722540799242175,0.6397538744209348,152090160,2619.7505,45.81740070024825,0.6398825,184286160,1473.4193,48.3167364231804,0.6399109444444444,184294352,1953.6641,47.0915011223719,0.63989925,184290984,690.97894,51.605351872628944,0.6398785833333334,184285032,5202.579,42.837813079234586,0.6397832777777778,92128792,5711.0146,42.432867258924134,0.6397695,92126808,7769.427,41.096110230398594,0.6398115555555556,92132864,7269.029,41.38523609944798,0.6398276111111111,92135176
