K,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bits
K1,0.43043494,83.66092480351826,5.747574722682747,1318771824,0.43045852,83.66068695990643,6.399405426230908,1468333336,0.4304217,83.66105831436359,6.000981798086193,1376915672,0.43029892,83.6622973945708,5.75771359634345,1368794496,0.43047807,83.66048971895309,5.617706908148367,1335510384,0.3701302,84.31645465066995,6.452320972222222,1858268440,0.36757296,84.34656440562519,6.041451194444444,1739937944,0.39570868,84.02624423069435,6.6292603055555555,1909226968,0.40197897,83.957966674053,6.103540416666666,1757819640,0.42860672,83.67941025301646,7.165149222222222,1031781488,0.42551488,83.71085251519088,7.303684555555556,1051730576,0.42903182,83.67510497210765,7.697264555555556,1108406096,0.42686844,83.69705954346088,7.429477722222222,1069844792
K2,1.1971885,79.21837464811829,4.967694383573823,1139829528,1.1970437,79.21890010178406,5.5742617512259836,1279005440,1.1968364,79.21965228148969,5.177341206127391,1187932656,1.1971776,79.21841400088181,4.963824907259132,1180061512,1.1972171,79.21827086232045,4.815719395303036,1144852048,1.0395066,79.83172767882112,5.639406305555555,1624149016,1.0319095,79.8635840370945,5.240221222222222,1509183712,1.1096089,79.54830072964147,5.772390416666667,1662448440,1.1247097,79.48959549492393,5.2446276944444445,1510452776,1.1911635,79.24028608295208,6.3370611666666665,912536808,1.1851366,79.262316054581,6.461993277777778,930527032,1.193003,79.2335844295237,6.853624722222222,986921960,1.187993,79.25186100196429,6.5943446111111115,949585624
K3,4.1873326,73.78062538582373,4.248724680581778,974863080,4.187098,73.78086871501355,4.779161920501516,1096571056,4.187466,73.78048691188398,4.393770276890142,1008143560,4.1866007,73.78138459820298,4.224222320652263,1004234088,4.1872325,73.7807292441761,4.0735585025678045,968416432,3.5266678,74.52635443350948,4.857307333333333,1398904512,3.4984012,74.56130391038029,4.476411527777778,1289206520,3.7674947,74.23947352444222,4.945531666666667,1424313120,3.814277,74.18587778411526,4.424909805555555,1274374024,4.16529,73.80354768950565,5.522706777777778,795269776,4.1650667,73.80378037357931,5.622370555555555,809621360,4.1770372,73.79131652900413,6.007940722222222,865143464,4.1796656,73.78858466759073,5.768086833333333,830604504
K4,14.4045105,68.41501495565396,3.6238812037913535,831493744,14.575282,68.36383030948002,4.073139023850243,934575232,14.608534,68.35393368513832,3.7253444347400113,854774320,14.410887,68.41309294335814,3.582950974688757,851783176,14.60182,68.35593009746385,3.4631998428484474,823314464,12.214449,69.13126122023796,4.123902722222223,1187683984,12.114603,69.16690811756081,3.780037888888889,1088650912,13.116177,68.82192744323643,4.167512027777778,1200243464,13.304826,68.75990807852499,3.6790036111111113,1059553040,14.435328,68.40573357760563,4.767090944444444,686461096,14.462877,68.39745299038428,4.836045333333334,696390528,14.503759,68.38519413752621,5.198633,748603152,14.438829,68.40468014257664,4.986892722222223,718112552
K5,43.58306,63.60682268731623,3.0779078520486522,706221032,48.852287,63.11115097549147,3.4837519546878513,799341312,49.932735,63.0161464152932,3.2091825438747885,736341800,46.164318,63.35693575228062,3.0637720158346173,728357568,49.342957,63.06774831906918,3.0050152713787734,714389192,43.198536,63.64530972004345,3.5155552777777777,1012479920,42.69061,63.69667649974303,3.2191996666666665,927129504,46.830654,63.29469775823085,3.5226454444444446,1014521888,47.47391,63.23544986109945,3.0963100833333335,891737304,47.772133,63.20825368418791,4.099366944444444,590308840,48.058327,63.182313543894644,4.145668888888889,596976320,48.68015,63.12648100454012,4.464550444444445,642895264,46.758545,63.30139012100293,4.276359333333334,615795744
K6,122.65359,59.113197451359376,2.6525558164711542,608624688,157.03195,58.04011971005606,3.0320674452295155,695703024,161.86197,57.908551808711266,2.8224820918341553,647614000,138.34888,58.590243618937585,2.6694625845962032,634617480,151.91246,58.18406602507291,2.6604381146356637,632472072,145.85262,58.36085778920111,3.035547277777778,874237616,137.546,58.615520183131835,2.7719589166666667,798324168,161.1997,57.926357518288626,3.0221811666666665,870388176,157.65569,58.02290362980791,2.6526628055555554,763966888,150.25392,58.23174184434022,3.5255716666666665,507682320,151.55128,58.19440377509099,3.5576264444444443,512298208,159.08078,57.98382288181476,3.827484666666667,551157792,144.9313,58.38837797478084,3.6593447777777777,526945648
K7,328.47043,54.83503723004589,2.3629094820447647,542165800,463.28214,53.34154446648281,2.670352654453027,612708144,454.31985,53.42638283185359,2.5129604390355302,576594752,383.31042,54.1644936917877,2.3994001992998006,570414928,373.74435,54.27425359035243,2.3389959546935777,556054888,414.97153,53.81981700993309,2.6457286944444443,761969864,335.85052,54.73853968603897,2.413911888888889,695206624,486.93225,53.12531459881497,2.6402255555555554,760384960,416.38968,53.80500043879102,2.3253965,669714192,431.50418,53.65014991984541,3.045483,438549552,417.38245,53.794658198611344,3.0414000555555556,437961608,495.74228,53.047440409974044,3.3004164444444446,475259968,398.4585,53.99616908536821,3.127857888888889,450411536
K8,687.3715,51.62808465405752,2.148413499505771,492950040,992.1683,50.03414664297673,2.3578699175936726,541009480,802.2659,50.95681650588021,2.216290895905136,508524400,743.841,51.28519885311084,2.147542189260778,510540144,686.6853,51.63242247799718,2.12623482799771,505474696,806.7758,50.93247127715764,2.337505611111111,673201616,527.853,52.77486983335393,2.1495581111111113,619072736,1048.7261,49.793379341044115,2.3488214166666666,676460568,702.34143,51.53451712079125,2.082202777777778,599674400,945.6158,50.24285287400982,2.6335603333333335,379232688,828.8913,50.81502420565378,2.608702111111111,375653104,1340.8418,48.72622460625158,2.8946294444444445,416826640,894.0026,50.486612062496256,2.710756388888889,390348920
K9,186.33356,57.297089252243445,3.549808636713091,814497912,296.5653,55.2787965435835,3.747103296427432,859766856,183.1725,57.37139725698814,3.6033811523636685,826790040,179.40436,57.46167011719203,3.5727877785223128,849367056,130.28157,58.851170150215225,3.489171913114036,829488864,141.38913,58.49583978936682,3.5660979166666666,1027036200,78.64717,61.0431689455728,3.428308361111111,987352808,187.4551,57.27102754770722,3.55643425,1024253064,106.93491,59.708804769841024,3.3707613333333333,970779264,229.87238,56.38513216176765,3.8424898888888888,553318544,185.8275,57.30890017202087,3.8196892777777776,550035256,376.2245,54.24552940962129,4.009336944444445,577344520,199.80469,56.9939432726367,3.892765888888889,560558288
K10,220.4054,56.56777778193263,3.620656426455796,830753824,333.9428,54.76327902657378,3.739674419172241,858062312,66.34971,61.781609804454945,3.5332784887582567,810705096,128.7765,58.901633674855034,3.5501042138573515,843974440,36.1484,64.41910928453493,3.3838091668654195,804440736,97.00925,60.13186867237031,3.5783376666666666,1030561248,46.10702,63.36232933754425,3.477660277777778,1001566160,131.5282,58.80981129089469,3.5840070277777776,1032194024,53.0641,62.751992107126185,3.4466133333333335,992624640,258.7121,55.871832635507026,3.7859547777777776,545177488,165.39307,57.81482700857369,3.702131722222222,533106968,564.595,52.48262994778558,3.955382388888889,569575064,196.03917,57.076571464174464,3.7587728888888887,541263296
