K,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001.tif_bits,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_MSE,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_PSNR,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bpsp,data/GF-dataset/GF-2/TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-WFI/GF6_WFI_Sample_D.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_A.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_B.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_C.tif_bits,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_MSE,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_PSNR,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bpsp,data/GF-dataset/GF-6/GF6-PMS/GF6_PMS_Sample_D.tif_bits
K1,13.704101,68.63149461652482,3.391027804072724,778065904,15.292944,68.15508903069693,4.091014764103825,938676792,12.529839,69.02054524542893,3.673773449716799,842941440,11.942571,69.22902179511077,3.5561797870966627,845418800,11.165931,69.52105070007072,3.348868117626423,796134120,14.520561,68.38016597872564,4.0150658055555555,1156338952,12.955262,68.87553793486772,3.6985846944444445,1065192392,14.652892,68.34076648030819,4.043418777777778,1164504608,12.61974,68.98949608703458,3.54163475,1019990808,18.082842,67.42733315406721,4.597824,662086656,18.633177,67.29713095149329,4.871260722222222,701461544,21.041233,66.76928813156407,5.076204111111111,730973392,21.442677,66.6872100555477,5.0161845,722330568
K2,26.447105,65.77621853846125,2.8179466232930803,646573344,30.31986,65.18272801796502,3.4610958803809484,794142912,25.60066,65.91748832679829,3.0407412559860956,697693216,23.597803,66.27128426651771,2.9624175764084226,704262344,22.485102,66.48105143783178,2.751936863438414,654224280,27.434685,65.61700025831948,3.41207325,982677096,25.078684,66.00695259321112,3.0725753055555556,884901688,29.009245,65.37463575294413,3.4168309722222223,984047320,26.27585,65.80443221145786,2.8876228055555555,831635368,32.449535,64.88791517284102,3.9810463888888887,573270680,31.712431,64.98770465338627,4.2277212777777775,608791864,37.61435,64.2464644599506,4.448447611111111,640576456,34.538456,64.61697081408948,4.398583111111111,633395968
K3,43.337822,63.63132918912078,2.42967844622146,557485832,50.59604,62.95883482896738,3.03226799576724,695749040,42.872787,63.678182788894134,2.6203210482182486,601228472,38.906246,64.0998066947005,2.5661503464190605,610056824,37.145947,64.30088571070667,2.3664245203533554,562575544,44.868046,63.480628454160765,2.9954270555555556,862682992,41.357403,63.83446742263902,2.6455445,761916816,48.412033,63.15046678620358,2.9801164722222224,858273544,44.52188,63.51426494480684,2.437161166666667,701902416,52.537582,62.79529915859035,3.5555514444444443,511999408,50.383507,62.977116081759874,3.7737275555555554,543416768,61.1836,62.1336496322637,4.006921166666666,576996648,53.22027,62.73922940776942,3.967126388888889,571266200
K4,63.791832,61.95234925626135,2.1476380746172126,492772120,75.62586,61.2132966143023,2.716773479353092,623359328,63.896366,61.94523840107246,2.3133770904482227,530800672,57.41347,62.40986194868084,2.281724241930945,542439552,54.897476,62.604476209273145,2.0833192965364824,495272288,66.44665,61.77526925126359,2.68354425,772860744,61.080826,62.14095099965017,2.330527583333333,671191944,72.478,61.39793818357761,2.65019475,763256088,66.90481,61.745426709895064,2.097569388888889,604099984,78.27338,61.063859316915256,3.2330966111111112,465565912,74.68362,61.267746590146785,3.426878388888889,493470488,91.821465,60.370557845829694,3.664258777777778,527653264,77.84176,61.087873603392836,3.632908111111111,523138768
K5,87.21402,60.59413696011481,1.9393987319153239,444991936,104.94907,59.79021389849698,2.4705226621758967,566857472,88.14095,60.54822257794979,2.0767890645565625,476515928,78.893654,61.02957929620076,2.062883941307092,490414144,75.349174,61.22921501309147,1.8608829511177067,442391984,91.64971,60.37868897279682,2.439481388888889,702570640,83.49539,60.7833749279434,2.0903614444444445,602024096,100.54374,59.97644966976027,2.3904478055555556,688448968,91.85381,60.369028099088816,1.8409100277777777,530182088,109.55205,59.60379500263866,2.975276,428439744,104.58358,59.80536495848724,3.150218777777778,453631504,129.2934,58.884236572982694,3.387487277777778,487798168,108.526726,59.64463299375342,3.3636132777777776,484360312
K6,142.2874,58.46833558526132,1.6425210374097183,376873824,174.8991,57.57212441141156,2.107693965179099,483607008,144.73647,58.39422037296001,1.732839104565558,397597160,129.33531,58.882828852889816,1.7420750651047419,414147512,122.53865,59.11726906753509,1.5376629595557691,365552152,150.78313,58.21647254846618,2.0827305555555555,599826400,134.1442,58.72428114585476,1.7505679444444444,504163568,166.22948,57.79291961704877,2.009008222222222,578594368,146.00641,58.356280812139886,1.4880477777777779,428557760,187.49178,57.270177782178244,2.582447722222222,371872472,180.5284,57.43454475090732,2.730658611111111,393214840,223.72133,56.502926099556376,2.9609785555555557,426380912,187.97318,57.2590412286127,2.9481141111111113,424528432
K7,280.81287,55.51582997694644,1.2753745068608018,292632640,352.21143,54.53196559574701,1.6476373772926722,378047760,282.08292,55.49623215151896,1.3067528908460464,299832360,254.72697,55.93925062689743,1.3452314220659118,319804960,235.44566,56.28109304185568,1.141358814094677,271337856,298.27142,55.25388353343659,1.6380596111111112,471761168,254.78244,55.93830507236663,1.3455312777777777,387513008,325.4159,54.875612396150956,1.542965138888889,444373960,264.04312,55.78325141956623,1.0885000277777779,313488008,400.05292,53.97882558047722,2.065434277777778,297422536,396.39822,54.01868300105447,2.1818577777777777,314187520,484.8207,53.14418837456502,2.3876757222222222,343825304,419.92142,53.76831974491968,2.3889444444444443,344008000
K8,448.70087,53.480430915939046,1.0548591491594623,242035744,566.85657,52.465268174288326,1.3599102543316928,312029232,439.9709,53.565760607133214,1.0462080014504351,240050752,404.2093,53.9339370973639,1.1043263031569543,262534032,365.2358,54.37426648907867,0.9101573492537615,216373800,478.31296,53.202878536899554,1.3588128611111112,391338104,397.39835,54.00773944844397,1.100181,316852128,510.5404,52.91969881210978,1.2624143611111112,363575336,389.34436,54.09666111672688,0.8612295,248034096,681.6982,51.66407864746673,1.7272645,248726088,697.8686,51.562263473515706,1.823921388888889,262644680,833.2745,50.79211921299296,2.004167277777778,288600088,747.7484,51.26244499980031,2.0142820555555554,290056616
K9,846.6787,50.722813600802475,0.7951424721200933,182444168,1070.4613,49.70429027471421,1.0178887802224814,233552952,788.58264,51.03152786912335,0.7483478464003236,171707216,752.2585,51.23632905635858,0.814727994471092,193687160,659.8046,51.80584643563169,0.6469800191223489,153808048,908.38947,50.41727910972224,1.01065325,291068136,732.0871,51.35437247398903,0.8058765277777777,232092440,929.24615,50.318692273364,0.922969,265815072,646.50415,51.894286827155895,0.5981629722222223,172270936,1401.2148,48.5349527063741,1.3019532777777778,187481272,1542.0552,48.119000866556014,1.3650565555555556,196568144,1722.8289,47.63757862406233,1.519639888888889,218828144,1673.3241,47.76419934848815,1.5260635,219753144
K10,1308.6895,48.831633976011446,0.6386351266777193,146533808,1651.6302,47.82087171774775,0.8122792575585622,186376176,1174.7532,49.30053372970957,0.5795097808483302,132967592,1144.89,49.41236232385712,0.6405370746844244,152276352,984.31396,50.0686635334643,0.49116072153426354,116764768,1401.4042,48.53436593070545,0.8087842222222222,232929856,1110.092,49.54641011079998,0.6384422777777777,183871376,1369.8015,48.633423582173904,0.7183636111111111,206888720,890.6412,50.50297231319025,0.4544235,130873968,2265.9346,46.44752634703199,1.0450907222222223,150493064,2656.0232,45.7576813687028,1.077833,155207952,2793.4941,45.53852235238808,1.2216727222222221,175920872,2901.2827,45.37409949406853,1.2160745,175114728
