K,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001_MSE,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001_PSNR,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001_bpsp,TRIPLESAT_2_MS_L1_20191107021947_001FFCVI_002_0120200811001001_001_bits,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002_MSE,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002_PSNR,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002_bpsp,TRIPLESAT_2_MS_L1_20191107021950_001FFCVI_003_0120200811001001_002_bits,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001_MSE,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001_PSNR,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001_bpsp,TRIPLESAT_2_MS_L1_20191107021954_001FFCVI_004_0120200811001001_001_bits,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001_MSE,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001_PSNR,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001_bpsp,TRIPLESAT_2_MS_L1_20200109023258_002115VI_003_0120200811001001_001_bits,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001_MSE,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001_PSNR,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001_bpsp,TRIPLESAT_2_MS_L1_20200109023301_002115VI_004_0120200811001001_001_bits,GF6_WFI_Sample_A_MSE,GF6_WFI_Sample_A_PSNR,GF6_WFI_Sample_A_bpsp,GF6_WFI_Sample_A_bits,GF6_WFI_Sample_B_MSE,GF6_WFI_Sample_B_PSNR,GF6_WFI_Sample_B_bpsp,GF6_WFI_Sample_B_bits,GF6_WFI_Sample_C_MSE,GF6_WFI_Sample_C_PSNR,GF6_WFI_Sample_C_bpsp,GF6_WFI_Sample_C_bits,GF6_WFI_Sample_D_MSE,GF6_WFI_Sample_D_PSNR,GF6_WFI_Sample_D_bpsp,GF6_WFI_Sample_D_bits,GF6_PMS_Sample_A_MSE,GF6_PMS_Sample_A_PSNR,GF6_PMS_Sample_A_bpsp,GF6_PMS_Sample_A_bits,GF6_PMS_Sample_B_MSE,GF6_PMS_Sample_B_PSNR,GF6_PMS_Sample_B_bpsp,GF6_PMS_Sample_B_bits,GF6_PMS_Sample_C_MSE,GF6_PMS_Sample_C_PSNR,GF6_PMS_Sample_C_bpsp,GF6_PMS_Sample_C_bits,GF6_PMS_Sample_D_MSE,GF6_PMS_Sample_D_PSNR,GF6_PMS_Sample_D_bpsp,GF6_PMS_Sample_D_bits
K1,0.4644632339477539,83.33048658259287,5.612023653248399,1287669848.0,0.4662608504295349,83.31371048530511,6.263935490506798,1437249976.0,0.4472283720970154,83.4947065267459,5.865578979849064,1345847712.0,0.4450955092906952,83.51546787429697,5.622127308741807,1336561256.0,0.43787264823913574,83.58652182210955,5.482361059056762,1303334304.0,0.45737341046333313,83.39729086831825,6.293181333333333,1812436224.0,0.4548306167125702,83.42150308668155,5.882297222222222,1694101600.0,0.473170667886734,83.24982185366524,6.470160027777778,1863406088.0,0.4772498905658722,83.21254162518672,5.944452444444445,1712002304.0,0.49139440059661865,83.08569796581713,7.030023055555556,1012323320.0,0.4906594455242157,83.09219836278095,7.169236944444444,1032370120.0,0.4964604377746582,83.0411535409857,7.562345333333333,1088977728.0,0.48497137427330017,83.14283895133906,7.294648,1050429312.0
K2,1.274193286895752,78.94764687334194,4.648833254012667,1066667352.0,1.3002593517303467,78.85970014007442,5.255389464472186,1205840704.0,1.2757747173309326,78.94226008732402,4.85850922473201,1114777168.0,1.2622601985931396,78.98851111680342,4.6448926965330335,1104241024.0,1.245728850364685,79.04576477424321,4.49683574339709,1069043104.0,1.327102541923523,78.7709551898107,5.3203305,1532255184.0,1.3047846555709839,78.84461159294601,4.921156722222222,1417293136.0,1.376137614250183,78.61338134326438,5.453391138888889,1570576648.0,1.3912569284439087,78.56592659870199,4.925615888888889,1418577376.0,1.3968037366867065,78.54864611825614,6.018524611111111,866667544.0,1.4228169918060303,78.46850956950179,6.143390944444445,884648296.0,1.4551552534103394,78.37090668463374,6.535040277777778,941045800.0,1.4227845668792725,78.46860854306838,6.275789166666667,903713640.0
K3,4.484281063079834,73.48307174774828,3.7698152264299947,864978072.0,4.696566581726074,73.28219516429445,4.300242355143902,986683728.0,4.605849742889404,73.36690234174309,3.914933170159391,898275152.0,4.497250080108643,73.47052961800203,3.7452664867163614,890370816.0,4.44099235534668,73.52519974413266,3.594628378222059,854559272.0,4.76829195022583,73.21637161722013,4.378259888888889,1260938848.0,4.75042724609375,73.23267328843215,3.997384361111111,1151246696.0,5.025832653045654,72.98791976361989,4.466494694444444,1286350472.0,5.0692901611328125,72.9505284948043,3.9458796666666665,1136413344.0,5.064948558807373,72.95424961111114,5.044114055555555,726352424.0,5.198192119598389,72.84147673480723,5.143830555555556,740711600.0,5.220743179321289,72.82267670234393,5.529352277777778,796226728.0,5.14254093170166,72.88822242882355,5.2894456666666665,761680176.0
K4,15.409335136413574,68.12216099296893,2.984889360745161,684878088.0,16.874561309814453,67.72767508760838,3.4340825736854126,787944752.0,16.190914154052734,67.9072862988451,3.0863725003094378,708163232.0,15.660711288452148,68.05188516758625,2.943908993435053,699862256.0,15.17257022857666,68.18940843633987,2.8241662744187477,671395544.0,17.411109924316406,67.59173542573579,3.4849659444444443,1003670192.0,17.144390106201172,67.65877959847528,3.141068888888889,904627840.0,18.416500091552734,67.34792900488122,3.528655027777778,1016252648.0,18.09001350402832,67.42561108943238,3.0401268333333333,875556528.0,18.643064498901367,67.29482697906279,4.128451055555556,594496952.0,19.317350387573242,67.14052442670508,4.197398111111111,604425328.0,19.691850662231445,67.05713466460867,4.5599725555555555,656636048.0,19.101364135742188,67.18935616235504,4.348147444444445,626133232.0
K5,51.586734771728516,62.87461960312358,2.2789924706382787,522911176.0,57.14262771606445,62.43039792368621,2.684838490919963,616031896.0,52.34474182128906,62.81126937914311,2.410233725752718,553024272.0,52.36857604980469,62.80929234808078,2.264790977077999,538413968.0,47.832088470458984,63.202806563140186,2.2060634419470975,524452536.0,56.281768798828125,62.49632262205673,2.7166745277777777,782402264.0,52.90155029296875,62.765316006715025,2.4202999444444444,697046384.0,59.23928451538086,62.2739019547322,2.723727861111111,784433624.0,54.284908294677734,62.65320891503782,2.2974200555555555,661656976.0,66.75605773925781,61.755093183774434,3.3007762222222223,475311776.0,68.62225341796875,61.635350246808855,3.347138888888889,481988000.0,72.35385131835938,61.405383468974634,3.6660065555555557,527904944.0,69.62995910644531,61.57203859884744,3.4777472777777776,500795608.0
K6,172.03729248046875,57.64377400982192,1.6936734533777529,388610664.0,183.32925415039062,57.367682284237006,2.073290413007892,475713168.0,156.54808044433594,58.05352253230992,1.8636706117802522,427616240.0,174.35337829589844,57.58569633254723,1.7105988542574988,406664600.0,143.48004150390625,58.432085063694,1.7015972335269545,404524624.0,158.9572296142578,57.98719714932748,2.0765623611111113,598049960.0,146.5588836669922,58.33987851666889,1.812988111111111,522140576.0,161.922119140625,57.90693821014594,2.0632924722222223,594228232.0,135.36444091796875,58.684954061185046,1.6937259444444444,487793072.0,237.1544952392578,56.24968638926502,2.5670902222222223,369660992.0,240.91966247558594,56.1812775394033,2.599222388888889,374288024.0,257.41558837890625,55.89365156957848,2.868989611111111,413134504.0,252.092041015625,55.98440865539578,2.700921666666667,388932720.0
K7,631.2838134765625,51.99775346120028,1.2439694502118994,285426800.0,590.25,52.28964004249235,1.551509411266324,355991352.0,473.5527038574219,53.24631679341393,1.3939439107006193,319838200.0,621.6386108398438,52.064620187343,1.2803243648423037,304374456.0,458.2657470703125,53.388826027471055,1.2200514948957293,290045648.0,454.9573669433594,53.42029298219223,1.5267116666666667,439692960.0,439.64556884765625,53.56897299702993,1.2948625,372920400.0,429.1867980957031,53.67353645518687,1.5212572222222223,438122080.0,375.39239501953125,54.255145298886404,1.206366611111111,347433584.0,830.8775024414062,50.80463000205337,1.9269020555555556,277473896.0,829.0466918945312,50.81421009303641,1.9227391666666667,276874440.0,871.7671508789062,50.595994996918215,2.181992,314206848.0,865.3954467773438,50.627853941438545,2.009320222222222,289342112.0
K8,1949.1947021484375,47.10144777688253,0.8693789453314994,199477608.0,1927.5626220703125,47.14991503820299,1.0787976032955557,247528384.0,1667.7330322265625,47.77873469232034,0.9372190000017433,215043400.0,1771.2357177734375,47.517236386313954,0.8683939372142532,206445288.0,1665.8577880859375,47.78362076450074,0.8470900420346751,201380664.0,1587.1614990234375,47.99378880071746,1.0583727777777778,304811360.0,1726.70361328125,47.62782202191126,0.8704940555555556,250702288.0,1398.44580078125,48.54354360810335,1.069714638888889,308077816.0,1379.8323974609375,48.60173662351205,0.8031322222222222,231302080.0,2555.445556640625,45.92533367184746,1.3549522222222221,195113120.0,2721.73681640625,45.65153872045434,1.3300020555555556,191520296.0,2800.524169921875,45.527606748008466,1.6160908333333333,232717080.0,2774.98486328125,45.56739381482334,1.4321008333333334,206222520.0
K9,7114.24951171875,41.47870907260673,0.6706897411356976,153888688.0,6397.1162109375,41.940157597544605,0.8679966040294899,199160432.0,5735.990234375,42.41391596733677,0.7242671031918287,166181928.0,5985.37939453125,42.22908315812427,0.6936607940948706,164905576.0,5791.98583984375,42.37172508565958,0.6100336218511325,145024696.0,7296.9013671875,41.368615241016855,0.6869746944444445,197848712.0,8169.2724609375,40.8781661914316,0.5491916111111111,158167184.0,5311.0400390625,42.7482042449343,0.6773151944444444,195066776.0,7002.31201171875,41.54758541678848,0.4916669166666667,141600072.0,7510.77294921875,41.24315366550192,0.9637238888888889,138776240.0,8618.94140625,40.645460717224076,0.9409415,135495576.0,8337.224609375,40.78978498215314,1.1305753333333333,162802848.0,8302.3701171875,40.80797909807262,1.0140355,146021112.0
K10,27120.865234375,35.666964593285535,0.42154310947472284,96722392.0,22271.388671875,36.52252702870317,0.540580766743198,124035392.0,16940.759765625,37.71067116164743,0.3342304064879075,76688632.0,22829.181640625,36.415096564173815,0.35098389238652045,83440208.0,17596.09375,37.54583732817065,0.18470159923577906,43909536.0,33334.3671875,34.771077850137566,0.37924091666666665,109221384.0,47349.44921875,33.24685068458994,0.27851980555555556,80213704.0,21053.16796875,36.766825445870836,0.3849312222222222,110860192.0,31781.654296875,34.97823500668429,0.2475141388888889,71284072.0,21137.861328125,36.749389555517595,0.5871975555555555,84556448.0,22765.888671875,36.42715392236586,0.5034078333333334,72490728.0,22342.642578125,36.50865461962335,0.7566208333333333,108953400.0,22522.578125,36.47381897951441,0.5600127777777778,80641840.0
